run,review_priority,model,case_origin,subtype_auto,race,driver,suggestion_lap,nearest_future_pit_distance,failure_type_suggested,context_source_suggested,notes_suggested
full,8,Batch,excluded_no_match,unexpected_within_horizon,2025 :: Bahrain Grand Prix,OCO,26,1.0,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint."
p1,8,Batch,excluded_no_match,unexpected_within_horizon,2025 :: Belgian Grand Prix,MAG,24,1.0,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint."
full,7,MOA,scored_fp,fp_scored,2022 :: Saudi Arabian Grand Prix,GAS,13,2.0,Strategic Offset / Gamble,F1 race report + lap chart + pit-stop summary,Model flagged degradation signal but team likely optimized for track-position timing.
full,7,Batch,excluded_no_match,near_miss_3_5,2025 :: Bahrain Grand Prix,ALO,38,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
full,7,Batch,excluded_no_match,near_miss_3_5,2025 :: United States Grand Prix,RIC,19,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).
full,6,SDE,excluded_no_match,unexpected_within_horizon,2022 :: Abu Dhabi Grand Prix,PER,14,1.0,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint."
full,6,SDE,excluded_no_match,unexpected_within_horizon,2025 :: Italian Grand Prix,NOR,32,0.0,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint."
p1,6,MOA,excluded_no_match,unexpected_within_horizon,2025 :: Hungarian Grand Prix,SAI,46,1.0,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint."
full,5,SDE,scored_fp,fp_scored,2023 :: São Paulo Grand Prix,STR,27,2.0,Strategic Offset / Gamble,F1 race report + lap chart + pit-stop summary,Model flagged degradation signal but team likely optimized for track-position timing.
full,5,SDE,scored_fp,fp_scored,2024 :: Canadian Grand Prix,BOT,36,0.0,Weather / Safety Car Disruption,F1 race report + lap chart + pit-stop summary,Pace shock likely exogenous (rain/neutralization) rather than clean tire-cliff signal.
